,CID,Name,Party,last_name,first_name,crp_web_format
254,N00037036,"Raskin, Jamie",D,Raskin,Jamie,Jamie-Raskin
255,N00030949,"Reed, Tom",R,Reed,Tom,Tom-Reed
256,N00041871,"Reschenthaler, Guy",R,Reschenthaler,Guy,Guy-Reschenthaler
257,N00035927,"Rice, Kathleen",D,Rice,Kathleen,Kathleen-Rice
258,N00033832,"Rice, Tom",R,Rice,Tom,Tom-Rice
259,N00030184,"Richmond, Cedric",D,Richmond,Cedric,Cedric-Richmond
260,N00043541,"Riggleman, Denver",R,Riggleman,Denver,Denver-Riggleman
261,N00030768,"Roby, Martha",R,Roby,Martha,Martha-Roby
262,N00026314,"Rodgers, Cathy McMorris",R,Rodgers,Cathy,Cathy-Rodgers
263,N00028463,"Roe, Phil",R,Roe,Phil,Phil-Roe
264,N00000286,"Romney, Mitt",R,Romney,Mitt,Mitt-Romney
265,N00040007,"Rooney, Francis",R,Rooney,Francis,Francis-Rooney
266,N00041588,"Rose, Max",D,Rose,Max,Max-Rose
267,N00038734,"Rosen, Jacky",D,Rosen,Jacky,Jacky-Rosen
268,N00040666,"Rouda, Harley",D,Rouda,Harley,Harley-Rouda
269,N00033527,"Rouzer, David",R,Rouzer,David,David-Rouzer
270,N00042268,"Roy, Chip",R,Roy,Chip,Chip-Roy
271,N00006671,"Roybal-Allard, Lucille",D,Roybal-Allard,Lucille,Lucille-Roybal-Allard
272,N00033510,"Ruiz, Raul",D,Ruiz,Raul,Raul-Ruiz
273,N00039777,"Rutherford, John",R,Rutherford,John,John-Rutherford
274,N00025280,"Ryan, Tim",D,Ryan,Tim,Tim-Ryan
275,N00030418,"Sablan, Gregorio",I,Sablan,Gregorio,Gregorio-Sablan
276,N00009660,"Scalise, Steve",R,Scalise,Steve,Steve-Scalise
277,N00042706,"Scanlon, Mary Gay",D,Scanlon,Mary,Mary-Scanlon
278,N00004724,"Schakowsky, Jan",D,Schakowsky,Jan,Jan-Schakowsky
279,N00009585,"Schiff, Adam",D,Schiff,Adam,Adam-Schiff
280,N00030071,"Schrader, Kurt",D,Schrader,Kurt,Kurt-Schrader
281,N00041606,"Schrier, Kim",D,Schrier,Kim,Kim-Schrier
282,N00006460,"Schweikert, David",R,Schweikert,David,David-Schweikert
283,N00032457,"Scott, Austin",R,Scott,Austin,Austin-Scott
284,N00024871,"Scott, David",D,Scott,David,David-Scott
285,N00043290,"Scott, Rick",R,Scott,Rick,Rick-Scott
286,N00006897,"Sherman, Brad",D,Sherman,Brad,Brad-Sherman
287,N00041154,"Sherrill, Mikie",D,Sherrill,Mikie,Mikie-Sherrill
288,N00006263,"Simpson, Mike",R,Simpson,Mike,Mike-Simpson
289,N00033983,"Sinema, Kyrsten",D,Sinema,Kyrsten,Kyrsten-Sinema
290,N00027523,"Sires, Albio",D,Sires,Albio,Albio-Sires
291,N00041357,"Slotkin, Elissa",D,Slotkin,Elissa,Elissa-Slotkin
292,N00007833,"Smith, Adam",D,Smith,Adam,Adam-Smith
293,N00027623,"Smith, Adrian",R,Smith,Adrian,Adrian-Smith
294,N00009816,"Smith, Chris",R,Smith,Chris,Chris-Smith
